School Baseball Football Soccer Softball Volleyball
     1     2.06     2.72   2.27     3.42       3.20
     2     2.49     2.86   3.32     2.93       3.35
     3     3.64     2.69   2.48     2.93       2.65
     4     3.24     1.91   1.92     3.44       2.09
     5     3.29     3.50   3.63     3.23       3.64
     6     3.68     3.32   3.79     3.44       3.91
     7     3.48     3.10   2.87     3.68       2.91
     8     3.30     3.00   2.58     2.74       3.71
     9     2.89     3.24   2.95     2.97       4.00
    10     3.16     3.25   3.74     3.13       4.00
    11     3.15     3.18   2.56     2.98       3.99
    12     2.68     2.63   2.82     3.19       2.64
    13     2.98     3.37   3.06     2.67       2.46
    14     1.78     2.57   3.73     3.11       2.70
    15     2.88     3.44   3.50     3.19       3.59
    16     3.75     2.58   3.85     3.19       3.40
    17     3.23     3.15   2.60     2.58       2.65
    18     3.66     3.08   3.59     2.86       2.98
    19     3.96     3.12   3.49     4.00       3.80
    20     2.46     3.06   2.75     2.48       4.00
    21     3.28     3.06   3.72     4.00       3.37
    22     3.65     1.87   3.59     2.72       3.55
    23     4.00     2.66   3.16     2.54       3.48
    24     4.00     2.67   2.93     3.06       3.20
    25     3.68     3.71   2.39     3.65       3.73
    26     2.66     3.18   3.82     3.63       3.35
    27     2.78     2.54   2.97     3.65       3.02
    28     3.26     3.03   3.28     2.79       3.68
    29     3.08     2.84   2.47     3.83       2.26
    30     3.54     3.47   3.09     2.71       4.00
